--------------------
"Run name","me15di_bmedclab_run2_single.txt"
--------------------
"Average P@20 = ",.6435
"Average CR@20 = ",.3494
"Average F1@20 = ",.4379
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
154,"Niagara_Falls",.4,.4,.4,.3333,.4,.44,.0455,.1364,.2273,.3182,.4091,.5455,.0816,.2034,.2899,.3256,.4045,.4871
155,"Golden_Gate_Bridge_in_San_Francisco",.8,.9,.85,.9,.9,.92,.1818,.1818,.2727,.3636,.5,.5909,.2963,.3025,.413,.518,.6429,.7196
156,"Neuschwanstein_Castle",.6,.4,.7,.7667,.8,.82,.12,.16,.4,.64,.64,.68,.2,.2286,.5091,.6976,.7111,.7435
157,"Christ_Church_Cathedral_Missouri",.8,.6,.5,.5,.575,.62,.12,.16,.32,.4,.44,.44,.2087,.2526,.3902,.4444,.4985,.5147
158,"Mount_Rushmore_in_South_Dakota",1.0,.8,.75,.7,.775,.8,.16,.24,.44,.56,.64,.64,.2759,.3692,.5546,.6222,.7011,.7111
159,"Puerta_de_Toledo",.2,.1,.05,.0333,.025,.02,.5,.5,.5,.5,.5,.5,.2857,.1667,.0909,.0625,.0476,.0385
160,"Urquhart_Castle",1.0,1.0,.95,.9667,.975,.98,.125,.2917,.375,.4583,.4583,.5,.2222,.4516,.5377,.6218,.6235,.6622
161,"Gare_du_Nord_Paris",.4,.5,.7,.7333,.775,.78,.04,.16,.28,.44,.56,.6,.0727,.2424,.4,.55,.6502,.6783
162,"Newgrange_in_Ireland",.8,.8,.8,.7,.725,.72,.1667,.2917,.4167,.5,.5417,.625,.2759,.4275,.5479,.5833,.6201,.6691
163,"Windmills_at_Kinderdijk",1.0,.7,.8,.7667,.8,.82,.2,.24,.36,.44,.52,.52,.3333,.3574,.4966,.5591,.6303,.6364
164,"Conciergerie",1.0,1.0,1.0,1.0,1.0,.98,.2,.36,.52,.64,.68,.76,.3333,.5294,.6842,.7805,.8095,.8561
165,"Palazzo_Madama",.0,.3,.45,.5,.475,.52,.0,.0909,.3182,.5,.6818,.7273,.0,.1395,.3728,.5,.5599,.6064
166,"Split_Rock_Lighthouse",.8,.8,.8,.7333,.675,.6,.08,.2,.32,.48,.6,.64,.1455,.32,.4571,.5802,.6353,.6194
167,"The_Little_Mermaid_Denmark",1.0,1.0,.95,.9333,.925,.92,.2143,.2857,.5714,.6429,.7857,.9286,.3529,.4444,.7136,.7613,.8497,.9243
168,"Great_Pyramid_of_Giza",.8,.8,.65,.6667,.65,.6,.2,.2667,.5333,.6667,.7333,.8,.32,.4,.5859,.6667,.6892,.6857
169,"Pitti_Palace",1.0,.6,.65,.6333,.625,.66,.2273,.2273,.2727,.3182,.4545,.5909,.3704,.3297,.3842,.4236,.5263,.6235
170,"Georgia_State_Capitol",.4,.5,.55,.5667,.675,.64,.0526,.2105,.3684,.4737,.5263,.5789,.093,.2963,.4413,.516,.5915,.6079
171,"Dome_des_Invalides",1.0,1.0,.95,.9333,.9,.9,.12,.2,.28,.48,.6,.72,.2143,.3333,.4325,.634,.72,.8
172,"Reggia_di_Caserta",.8,.7,.7,.7333,.7,.66,.12,.2,.44,.48,.56,.64,.2087,.3111,.5404,.5802,.6222,.6498
173,"The_Burj_al_Arab_Hotel",.8,.8,.8,.8333,.825,.84,.12,.2,.36,.52,.56,.68,.2087,.32,.4966,.6404,.6671,.7516
174,"Elephanta_Caves",.8,.7,.7,.8,.825,.86,.1667,.2917,.4167,.5833,.7083,.7083,.2759,.4118,.5224,.6747,.7622,.7768
175,"Basilica_of_Santa_Croce",1.0,1.0,.9,.9333,.9,.86,.12,.2,.4,.44,.52,.64,.2143,.3333,.5538,.5981,.6592,.7339
176,"Aachen_Cathedral",.6,.8,.9,.9333,.95,.96,.08,.12,.36,.48,.6,.6,.1412,.2087,.5143,.634,.7355,.7385
177,"Monument_to_the_Great_Fire_of_London",.0,.0,.3,.3333,.375,.42,.0,.0,.2,.28,.4,.56,.0,.0,.24,.3043,.3871,.48
178,"Longmen_Grottoes",.8,.6,.55,.5667,.6,.68,.08,.12,.32,.48,.52,.8,.1455,.2,.4046,.5197,.5571,.7351
179,"Louisiana_State_Capitol",.2,.2,.2,.2333,.275,.28,.04,.08,.16,.2,.32,.36,.0667,.1143,.1778,.2154,.2958,.315
