--------------------
"Run name","me15di_bmedclab_run5_multi.txt"
--------------------
"Average P@20 = ",.6993
"Average CR@20 = ",.3683
"Average F1@20 = ",.4651
--------------------
"Query Id ","Location name",P@5,P@10,P@20,P@30,P@40,P@50,CR@5,CR@10,CR@20,CR@30,CR@40,CR@50,F1@5,F1@10,F1@20,F1@30,F1@40,F1@50
223,"Comic_Con_USA",1.0,.9,.7,.7333,.725,.72,.3571,.4286,.5,.6429,.7857,.7857,.5263,.5806,.5833,.6851,.7541,.7514
224,"Storm_on_sea",.4,.7,.8,.6333,.625,.62,.0667,.1333,.4,.4,.5333,.5333,.1143,.224,.5333,.4903,.5755,.5734
225,"Le_Tour_de_France",1.0,1.0,.85,.7333,.75,.72,.2857,.4286,.7143,.7857,.8571,.9286,.4444,.6,.7763,.7586,.8,.8111
226,"London_Marathon",.8,.4,.55,.5,.525,.48,.2222,.2222,.3333,.4444,.7778,.7778,.3478,.2857,.4151,.4706,.6269,.5936
227,"Edinburgh_Festival_Fringe",.6,.7,.65,.6333,.625,.64,.2,.3333,.4667,.6667,.7333,.7333,.3,.4516,.5433,.6496,.6748,.6835
228,"Venice_carnival",1.0,.9,.95,.9667,.975,.98,.2,.3,.3,.4,.5,.5,.3333,.45,.456,.5659,.661,.6622
229,"State_Fair_of_Texas",.8,.9,.65,.7333,.725,.74,.2,.35,.45,.55,.55,.6,.32,.504,.5318,.6286,.6255,.6627
230,"St_Patricks_day_Ireland",.8,.6,.55,.5667,.625,.64,.2353,.2941,.4706,.6471,.7059,.8235,.3636,.3947,.5072,.6042,.663,.7203
231,"Tropical_rain",.2,.1,.05,.0333,.025,.04,.2,.2,.2,.2,.2,.4,.2,.1333,.08,.0571,.0444,.0727
232,"Amsterdam_gay_parade",.8,.9,.9,.8667,.875,.9,.2,.2667,.4,.6,.6667,.6667,.32,.4114,.5538,.7091,.7568,.766
233,"Cancun_beaches",.2,.3,.55,.6,.5,.5,.0769,.2308,.4615,.5385,.6154,.6154,.1111,.2609,.5019,.5676,.5517,.5517
234,"Biennale_de_la_danse_de_Lyon",.6,.8,.8,.7667,.825,.86,.3,.4,.5,.6,.7,.8,.4,.5333,.6154,.6732,.7574,.8289
235,"Roland_Garros_Paris",.8,.7,.8,.8667,.875,.86,.1333,.1333,.2,.2,.2667,.3333,.2286,.224,.32,.325,.4088,.4804
236,"macys_thanksgiving_day_parade_new_york",1.0,1.0,1.0,1.0,.975,.98,.1538,.2308,.3077,.4615,.5385,.6154,.2667,.375,.4706,.6316,.6938,.756
237,"Sunset_Santorini",1.0,1.0,1.0,1.0,1.0,1.0,.3077,.3846,.4615,.4615,.4615,.4615,.4706,.5556,.6316,.6316,.6316,.6316
238,"Japan_cherry_blossom_festival",1.0,.9,.95,.8667,.875,.88,.1333,.2,.2667,.2667,.2667,.2667,.2353,.3273,.4164,.4078,.4088,.4093
239,"Sapporo_Snow_Festival_Japan",1.0,.9,.95,.9667,.975,.92,.1053,.1579,.2632,.3158,.4211,.4737,.1905,.2687,.4121,.4761,.5881,.6254
240,"Concerts_in_Bucharest",.8,.8,.8,.8,.825,.78,.2857,.4286,.7143,.7143,.7143,.7143,.4211,.5581,.7547,.7547,.7657,.7457
241,"marmots_in_the_mountains",.0,.0,.0,.1,.075,.1,.0,.0,.0,.6,.6,.6,.0,.0,.0,.1714,.1333,.1714
242,"Buckingham_guard_change",.6,.5,.5,.4333,.4,.36,.1429,.2143,.4286,.4286,.5714,.5714,.2308,.3,.4615,.4309,.4706,.4417
243,"Sydney_New_Year_Eve_fireworks",1.0,1.0,.95,.9667,.975,.92,.4,.5,.5,.7,.8,.8,.5714,.6667,.6552,.812,.8789,.8558
244,"animals_at_Zoo",1.0,1.0,1.0,.9667,.975,.98,.3333,.5556,.5556,.6667,.7778,.8889,.5,.7143,.7143,.7891,.8653,.9322
245,"Burning_man_festival_at_Black_Rock_Desert_Nevada",1.0,.9,.9,.9,.875,.88,.1765,.4118,.5294,.6471,.7059,.7059,.3,.565,.6667,.7529,.7814,.7834
246,"Aurora_Borealis_Norway",1.0,1.0,.95,.9667,.95,.96,.2,.4,.5,.5,.7,.7,.3333,.5714,.6552,.6591,.8061,.8096
247,"reenactment_of_the_battle_of_Gettysburg",.8,.9,.95,.9667,.975,.98,.1579,.3684,.4737,.6842,.7895,.8947,.2637,.5228,.6322,.8013,.8725,.9354
248,"chinese_New_Year_Beijing",.6,.5,.45,.4667,.375,.34,.1667,.1667,.2778,.3889,.3889,.4444,.2609,.25,.3435,.4242,.3818,.3853
249,"Pamplona_Bull_Run",.6,.3,.35,.3,.25,.24,.1667,.1667,.4167,.5833,.5833,.6667,.2609,.2143,.3804,.3962,.35,.3529
250,"Surfing_Miami",.6,.4,.3,.2667,.2,.32,.1875,.1875,.25,.3125,.3125,.3125,.2857,.2553,.2727,.2878,.2439,.3162
251,"International_Jazz_Festival_in_Montreal",.6,.3,.25,.3667,.375,.36,.1111,.1111,.1667,.2778,.3889,.4444,.1875,.1622,.2,.3161,.3818,.3978
252,"rainbow_over_the_lake",.0,.1,.05,.1,.075,.06,.0,.0625,.0625,.1875,.1875,.1875,.0,.0769,.0556,.1304,.1071,.0909
253,"Wacken_open_air_festival",.8,.7,.75,.7333,.75,.74,.16,.2,.32,.36,.4,.44,.2667,.3111,.4486,.4829,.5217,.5519
254,"winter_parks_Vienna",.4,.2,.2,.3,.275,.3,.08,.08,.16,.28,.28,.28,.1333,.1143,.1778,.2897,.2775,.2897
255,"New_York_car_accidents",1.0,.5,.45,.3333,.275,.24,.2143,.2143,.4286,.5,.5,.5714,.3529,.3,.439,.4,.3548,.338
256,"Diwali_festival_of_lights",.6,.6,.5,.6333,.6,.64,.0952,.1905,.3333,.4762,.5238,.619,.1644,.2892,.4,.5436,.5593,.6293
257,"Iceland_geyser_eruption",1.0,1.0,.8,.7333,.75,.76,.1364,.2273,.3636,.5,.5455,.6364,.24,.3704,.5,.5946,.6316,.6927
258,"Dia_de_Muertos_parade",1.0,1.0,1.0,1.0,1.0,1.0,.2632,.3684,.6316,.7895,.8421,.8947,.4167,.5385,.7742,.8824,.9143,.9444
259,"Festival_de_Cannes",.0,.0,.0,.0,.0,.04,.0,.0,.0,.0,.0,.5,.0,.0,.0,.0,.0,.0741
260,"olympic_games_Beijing",.8,.9,.95,.9333,.85,.78,.12,.16,.32,.4,.52,.56,.2087,.2717,.4787,.56,.6453,.6519
261,"Rio_carnival",1.0,.9,.9,.9333,.95,.9,.2105,.3158,.4737,.5263,.6316,.7368,.3478,.4675,.6207,.6731,.7587,.8103
262,"Carnaval_Nantes",1.0,1.0,1.0,1.0,1.0,1.0,.2778,.3889,.5556,.7222,.8333,.8889,.4348,.56,.7143,.8387,.9091,.9412
263,"Academy_Awards_in_Hollywood",.2,.1,.2,.1667,.15,.14,.0909,.0909,.1818,.2727,.2727,.2727,.125,.0952,.1905,.2069,.1935,.185
264,"Mont_Saint_Michel_tides",.6,.8,.9,.9333,.95,.94,.1364,.2273,.4545,.4545,.5455,.6818,.2222,.354,.604,.6114,.693,.7904
265,"Consumer_Electronics_Show_Las_Vegas",1.0,1.0,.95,.8667,.875,.82,.2381,.2857,.4286,.4762,.7143,.7619,.3846,.4444,.5907,.6147,.7865,.7899
266,"Geneva_auto_show",1.0,1.0,1.0,1.0,1.0,1.0,.16,.24,.4,.52,.52,.52,.2759,.3871,.5714,.6842,.6842,.6842
267,"Mardi_Gras_New_Orleans",1.0,.9,.8,.8,.8,.84,.25,.3125,.5,.6875,.75,.75,.4,.4639,.6154,.7395,.7742,.7925
268,"snow_in_the_city",1.0,1.0,1.0,1.0,1.0,.98,.2,.4,.6,.65,.7,.75,.3333,.5714,.75,.7879,.8235,.8497
269,"Dakar_Rally",.6,.7,.8,.8667,.9,.92,.0833,.2083,.2917,.5,.5417,.5833,.1463,.3211,.4275,.6341,.6763,.714
270,"flying_planes_on_blue_sky",.6,.8,.85,.8333,.775,.78,.15,.15,.35,.45,.5,.65,.24,.2526,.4958,.5844,.6078,.7091
271,"Albuquerque_International_Balloon_Fiesta",1.0,1.0,1.0,1.0,1.0,1.0,.1739,.3478,.5217,.6522,.6522,.6957,.2963,.5161,.6857,.7895,.7895,.8205
272,"Bastille_day_Paris",1.0,1.0,1.0,.9333,.925,.92,.0909,.1364,.1818,.2727,.3636,.4091,.1667,.24,.3077,.4221,.522,.5663
273,"Budapest_Christmas_Fair",.8,.9,.95,.9,.85,.86,.12,.24,.36,.52,.6,.68,.2087,.3789,.5221,.6592,.7034,.7595
274,"Chicago_Blues_Festival",.6,.8,.8,.8,.8,.84,.1429,.2857,.4762,.619,.6667,.7143,.2308,.4211,.597,.698,.7273,.7721
275,"Fiesta_de_San_Fermin_Spain",1.0,1.0,.95,.9333,.9,.92,.2,.28,.36,.44,.48,.6,.3333,.4375,.5221,.5981,.6261,.7263
276,"Harbin_Ice___Snow_Sculpture_Festival",1.0,.8,.85,.8667,.8,.82,.16,.2,.28,.44,.44,.44,.2759,.32,.4212,.5837,.5677,.5727
277,"Holi_festival_India",1.0,.9,.95,.9667,.975,.96,.2,.35,.35,.35,.45,.55,.3333,.504,.5115,.5139,.6158,.6993
278,"Indianapolis_500",.6,.7,.75,.6667,.675,.64,.08,.2,.32,.36,.4,.48,.1412,.3111,.4486,.4675,.5023,.5486
279,"Kentucky_derby",.2,.1,.2,.1667,.125,.12,.1,.1,.4,.5,.5,.6,.1333,.1,.2667,.25,.2,.2
280,"Melbourne_Cup_Carnival",.0,.0,.35,.2333,.175,.14,.0,.0,.0667,.0667,.0667,.0667,.0,.0,.112,.1037,.0966,.0903
281,"winter_sports",.2,.1,.05,.0333,.025,.04,.1429,.1429,.1429,.1429,.1429,.2857,.1667,.1176,.0741,.0541,.0426,.0702
282,"Australian_Grand_Prix",.4,.4,.7,.7667,.825,.86,.08,.12,.4,.48,.64,.68,.1333,.1846,.5091,.5904,.7208,.7595
